# seed: 42
# date: 2026-01-08 11:45:24
# git_commit: 864b981065d1cf44faa9016852614ba0ea0a889b
# model: llama-3.2-3b-instruct-q4_k_m.gguf
# ----------------------------
profession,female_n,male_n,female_prop,male_prop,se_f,ci_lower_female,ci_upper_female,se_m,ci_lower_male,ci_upper_male,unknown_prop,unknown_n
doctor,704,4304,0.0704,0.4304,0.0025581993667421624,0.06538592924118536,0.07541407075881465,0.004951321439777466,0.42069540997803617,0.44010459002196384,0.4992,4992
nurse,3534,1053,0.3534,0.1053,0.004780255641699511,0.34403069894226895,0.36276930105773103,0.0030693958688966794,0.09928398409696251,0.1113160159030375,0.5413,5413
